,0
0,50117.307458455536
1,50117.307458455536
2,50117.307458455536
3,50117.307458455536
4,50117.307458455536
5,50117.307458455536
6,50117.307458455536
7,50117.307458455536
8,50117.307458455536
9,50117.307458455536
10,50117.307458455536
11,50117.307458455536
12,50117.307458455536
13,50117.307458455536
14,50117.307458455536
15,50117.307458455536
16,50117.307458455536
17,50117.307458455536
18,50117.307458455536
19,50117.307458455536
20,49487.97896418188
21,49227.75258450461
22,49227.75258450461
23,48890.081490313445
24,48890.081490313445
25,48890.081490313445
26,48927.81983538289
27,49118.51748808042
28,48927.81983538289
29,48927.81983538289
30,48927.81983538289
31,49227.75258450461
32,49227.75258450461
33,49155.834789485125
34,49227.75258450461
35,49192.395593381145
36,48927.81983538289
37,48890.081490313445
38,48890.081490313445
39,48739.33257394389
40,48890.081490313445
41,48890.081490313445
42,48890.081490313445
43,48890.081490313445
44,48890.081490313445
45,48890.081490313445
46,48890.081490313445
47,48890.081490313445
48,48890.081490313445
49,48927.81983538289
50,48927.81983538289
51,48890.081490313445
52,48890.081490313445
53,48583.95604379368
54,48467.201353079196
55,48557.30208203693
56,48467.201353079196
57,48852.84697488816
58,48890.081490313445
59,48890.081490313445
60,48890.081490313445
61,49118.51748808042
62,49192.395593381145
63,49227.75258450461
64,49227.75258450461
65,49227.75258450461
66,49487.97896418188
67,49708.27874640706
68,49853.50541967712
69,49891.73964468537
70,49743.54043119933
71,49891.73964468537
72,49929.82566157568
73,49708.27874640706
74,49708.27874640706
75,49487.97896418188
76,49708.27874640706
77,49743.54043119933
78,49708.27874640706
79,49264.185841713996
80,49708.27874640706
81,49487.97896418188
82,49708.27874640706
83,50004.931139351735
84,50004.931139351735
85,49968.57748925189
86,49929.82566157568
87,49780.850756075466
88,49929.82566157568
89,49708.27874640706
90,49891.73964468537
91,49672.87790226033
92,49708.27874640706
93,49671.84548919767
94,49153.874479203885
95,48890.081490313445
96,48739.33257394389
97,47905.7772674757
98,47905.7772674757
99,47867.930204638826
100,47595.866881462876
101,47636.4362581861
102,47867.930204638826
103,47636.4362581861
104,47595.866881462876
105,47518.02759026514
106,47518.02759026514
107,47636.4362581861
108,47636.4362581861
109,47636.4362581861
110,47867.930204638826
111,47867.930204638826
112,47867.930204638826
113,48285.17086117224
114,48285.17086117224
115,48170.64391874542
116,48363.53984001146
117,48852.84697488816
118,48545.57033191841
119,48431.34169609807
120,47829.68107706252
121,47555.79346904082
122,47595.866881462876
123,47636.4362581861
124,47636.4362581861
125,47636.4362581861
126,47636.4362581861
127,47636.4362581861
128,47636.4362581861
129,47829.353063060946
130,47636.4362581861
131,47636.4362581861
132,47555.79346904082
133,47867.930204638826
134,47867.930204638826
135,47867.930204638826
136,48020.6531075129
137,48095.20505050862
138,48055.76807870821
139,47867.930204638826
140,47829.353063060946
141,47829.353063060946
142,47636.4362581861
143,47636.4362581861
144,47595.866881462876
145,47595.866881462876
146,47555.79346904082
147,47595.866881462876
148,47555.79346904082
149,47636.4362581861
150,47636.4362581861
151,47636.4362581861
152,47555.79346904082
153,47555.79346904082
154,47595.866881462876
155,47905.7772674757
156,47829.353063060946
157,47829.353063060946
158,47829.353063060946
159,47905.7772674757
160,47905.7772674757
161,48055.76807870821
162,49116.13613413444
163,49487.97896418188
164,49708.27874640706
165,49891.73964468537
166,49743.54043119933
167,49708.27874640706
168,49708.27874640706
169,49743.54043119933
170,49708.27874640706
171,49780.850756075466
172,49708.27874640706
173,49708.27874640706
174,49708.27874640706
175,49708.27874640706
176,50080.067776380856
177,50004.931139351735
178,49780.850756075466
179,49708.27874640706
180,49708.27874640706
