,Date,Price
93,2021-07-26,60431.45225019083
94,2021-07-27,60431.45225019083
95,2021-07-28,60431.45225019083
96,2021-07-29,60431.45225019083
97,2021-07-30,60431.45225019083
98,2021-07-31,60400.10049188587
99,2021-08-01,60354.58177260191
100,2021-08-02,60354.58177260191
101,2021-08-03,60354.58177260191
102,2021-08-04,60354.58177260191
103,2021-08-05,60431.45225019083
104,2021-08-06,60431.45225019083
105,2021-08-07,60400.21038323309
106,2021-08-08,60431.45225019083
107,2021-08-09,60354.58177260191
108,2021-08-10,60431.45225019083
109,2021-08-11,60431.45225019083
110,2021-08-12,60431.45225019083
111,2021-08-13,60431.45225019083
112,2021-08-14,60431.45225019083
113,2021-08-15,60431.45225019083
114,2021-08-16,60431.45225019083
115,2021-08-17,60431.45225019083
116,2021-08-18,60431.45225019083
117,2021-08-19,60431.45225019083
118,2021-08-20,60431.45225019083
119,2021-08-21,60431.45225019083
120,2021-08-22,60429.8408403246
121,2021-08-23,60428.8811958668
122,2021-08-24,60429.8408403246
123,2021-08-25,60411.113534262055
124,2021-08-26,60410.804813882394
125,2021-08-27,60429.8408403246
126,2021-08-28,60429.8408403246
127,2021-08-29,60425.470428725326
128,2021-08-30,60429.8408403246
129,2021-08-31,60428.4086400737
130,2021-09-01,60431.45225019083
131,2021-09-02,60428.8811958668
132,2021-09-03,60431.45225019083
133,2021-09-04,60431.45225019083
134,2021-09-05,60431.45225019083
135,2021-09-06,60428.8811958668
136,2021-09-07,60424.809420509795
137,2021-09-08,60412.60039364881
138,2021-09-09,60413.209686545604
139,2021-09-10,60418.34832094015
140,2021-09-11,60418.34832094015
141,2021-09-12,60410.85066910835
142,2021-09-13,60412.55453842285
143,2021-09-14,60420.57590811032
144,2021-09-15,60774.62644724124
145,2021-09-16,60686.14307772212
146,2021-09-17,60766.42364968673
147,2021-09-18,61988.434408762725
148,2021-09-19,62396.63264565537
149,2021-09-20,62060.36951560417
150,2021-09-21,62115.78392339482
151,2021-09-22,62060.36951560417
152,2021-09-23,62060.36951560417
